date,hospital,department,admissions,discharges,recovered_patients,readmissions,deaths,bed_days,length_of_stay_days,beds_available,treatment_cost
2024-08-05,Riverside General,Emergency,154,145,136,9,2,557,3.84,116,296632.88
2024-08-05,Riverside General,Cardiology,75,71,64,5,1,271,3.82,72,138940.44
2024-08-05,Riverside General,Surgery,63,60,55,4,1,350,5.83,64,117700.31
2024-08-05,Riverside General,Paediatrics,95,90,84,6,1,378,4.2,88,177350.43
2024-08-12,Riverside General,Emergency,174,166,150,11,2,666,4.01,116,314009.67
2024-08-12,Riverside General,Cardiology,71,68,63,4,1,271,3.99,72,135097.75
2024-08-12,Riverside General,Surgery,65,61,57,4,1,342,5.6,64,123451.68
2024-08-12,Riverside General,Paediatrics,91,86,78,6,1,346,4.02,88,171908.97
2024-08-19,Riverside General,Emergency,172,164,150,11,2,654,3.99,116,331906.93
2024-08-19,Riverside General,Cardiology,76,72,67,5,1,288,4.0,72,133607.28
2024-08-19,Riverside General,Surgery,64,60,55,4,1,332,5.54,64,114879.05
2024-08-19,Riverside General,Paediatrics,101,97,88,6,1,375,3.87,88,185359.93
2024-08-26,Riverside General,Emergency,166,158,147,10,2,664,4.2,116,303621.69
2024-08-26,Riverside General,Cardiology,78,75,68,5,1,323,4.31,72,143040.61
2024-08-26,Riverside General,Surgery,62,59,54,4,0,349,5.92,64,114341.57
2024-08-26,Riverside General,Paediatrics,96,92,86,6,1,369,4.01,88,176042.38
2024-09-02,Riverside General,Emergency,161,154,144,10,2,668,4.34,116,288390.57
2024-09-02,Riverside General,Cardiology,72,68,62,4,1,292,4.3,72,136571.23
2024-09-02,Riverside General,Surgery,65,60,55,4,1,365,6.09,64,116127.33
2024-09-02,Riverside General,Paediatrics,101,96,89,6,1,419,4.36,88,179333.88
2024-09-09,Riverside General,Emergency,155,147,134,10,2,600,4.08,116,282815.41
2024-09-09,Riverside General,Cardiology,76,73,67,5,1,303,4.15,72,144605.68
2024-09-09,Riverside General,Surgery,59,56,51,4,0,335,5.98,64,110123.12
2024-09-09,Riverside General,Paediatrics,102,97,90,6,1,393,4.05,88,194625.6
2024-09-16,Riverside General,Emergency,162,154,141,10,2,604,3.92,116,304936.27
2024-09-16,Riverside General,Cardiology,74,69,63,4,1,267,3.87,72,138062.51
2024-09-16,Riverside General,Surgery,61,57,53,4,0,340,5.96,64,117026.22
2024-09-16,Riverside General,Paediatrics,94,90,84,6,1,391,4.34,88,179463.57
2024-09-23,Riverside General,Emergency,154,144,133,9,2,549,3.81,116,272353.39
2024-09-23,Riverside General,Cardiology,75,70,63,5,1,293,4.19,72,144871.89
2024-09-23,Riverside General,Surgery,66,62,57,4,1,358,5.78,64,117525.96
2024-09-23,Riverside General,Paediatrics,90,86,79,6,1,374,4.35,88,161472.33
2024-09-30,Riverside General,Emergency,170,162,150,11,2,703,4.34,116,300342.13
2024-09-30,Riverside General,Cardiology,73,69,63,4,1,266,3.85,72,135801.41
2024-09-30,Riverside General,Surgery,64,60,56,4,1,330,5.5,64,121141.31
2024-09-30,Riverside General,Paediatrics,92,88,81,6,1,342,3.89,88,171426.93
2024-10-07,Riverside General,Emergency,166,158,146,10,2,653,4.13,116,303483.18
2024-10-07,Riverside General,Cardiology,70,67,63,4,1,255,3.81,72,132114.4
2024-10-07,Riverside General,Surgery,66,63,57,4,1,378,6.0,64,117893.33
2024-10-07,Riverside General,Paediatrics,95,91,85,6,1,365,4.01,88,181972.29
2024-10-14,Riverside General,Emergency,169,162,151,11,2,640,3.95,116,319194.19
2024-10-14,Riverside General,Cardiology,69,65,59,4,1,261,4.02,72,127429.83
2024-10-14,Riverside General,Surgery,62,59,54,4,0,352,5.96,64,115195.61
2024-10-14,Riverside General,Paediatrics,95,89,81,6,1,340,3.82,88,177991.62
2024-10-21,Riverside General,Emergency,160,153,144,10,2,617,4.03,116,293159.35
2024-10-21,Riverside General,Cardiology,78,73,68,5,1,284,3.89,72,139639.41
2024-10-21,Riverside General,Surgery,59,57,53,4,0,329,5.77,64,107388.01
2024-10-21,Riverside General,Paediatrics,100,94,88,6,1,369,3.93,88,178458.29
2024-10-28,Riverside General,Emergency,165,157,145,10,2,666,4.24,116,307009.7
2024-10-28,Riverside General,Cardiology,74,69,64,4,1,296,4.29,72,141709.75
2024-10-28,Riverside General,Surgery,61,58,54,4,0,345,5.95,64,107962.03
2024-10-28,Riverside General,Paediatrics,91,86,80,6,1,329,3.83,88,161717.48
2024-11-04,Riverside General,Emergency,162,151,139,10,2,613,4.06,116,297573.61
2024-11-04,Riverside General,Cardiology,74,71,67,5,1,305,4.3,72,134783.19
2024-11-04,Riverside General,Surgery,61,57,52,4,0,315,5.53,64,113456.14
2024-11-04,Riverside General,Paediatrics,101,95,87,6,1,389,4.09,88,189976.04
2024-11-11,Riverside General,Emergency,162,155,146,10,2,666,4.3,116,290829.87
2024-11-11,Riverside General,Cardiology,74,71,64,5,1,307,4.32,72,137645.1
2024-11-11,Riverside General,Surgery,66,62,57,4,1,360,5.81,64,120929.73
2024-11-11,Riverside General,Paediatrics,98,93,87,6,1,402,4.32,88,180542.43
2024-11-18,Riverside General,Emergency,154,146,136,9,2,612,4.19,116,284958.91
2024-11-18,Riverside General,Cardiology,76,73,68,5,1,303,4.15,72,139580.33
2024-11-18,Riverside General,Surgery,59,56,52,4,0,311,5.56,64,109032.34
2024-11-18,Riverside General,Paediatrics,93,89,83,6,1,348,3.91,88,164113.44
2024-11-25,Riverside General,Emergency,162,151,138,10,2,649,4.3,116,299250.17
2024-11-25,Riverside General,Cardiology,73,69,65,4,1,270,3.92,72,133971.94
2024-11-25,Riverside General,Surgery,64,60,56,4,1,349,5.81,64,118550.93
2024-11-25,Riverside General,Paediatrics,100,95,88,6,1,361,3.8,88,191966.31
2024-12-02,Riverside General,Emergency,157,149,137,10,2,626,4.2,116,292303.52
2024-12-02,Riverside General,Cardiology,79,75,69,5,1,295,3.93,72,144277.26
2024-12-02,Riverside General,Surgery,66,61,55,4,1,364,5.97,64,120496.07
2024-12-02,Riverside General,Paediatrics,100,95,87,6,1,397,4.18,88,186883.98
2024-12-09,Riverside General,Emergency,154,144,130,9,2,626,4.35,116,269421.26
2024-12-09,Riverside General,Cardiology,75,70,65,5,1,299,4.27,72,143326.7
2024-12-09,Riverside General,Surgery,59,56,52,4,0,319,5.69,64,105753.11
2024-12-09,Riverside General,Paediatrics,92,87,78,6,1,349,4.01,88,177284.44
2024-12-16,Riverside General,Emergency,170,161,149,10,2,647,4.02,116,318106.67
2024-12-16,Riverside General,Cardiology,75,70,63,5,1,288,4.11,72,139690.34
2024-12-16,Riverside General,Surgery,63,59,54,4,1,352,5.96,64,121697.99
2024-12-16,Riverside General,Paediatrics,90,85,77,6,1,361,4.25,88,173031.59
2024-12-23,Riverside General,Emergency,166,158,146,10,2,646,4.09,116,298937.44
2024-12-23,Riverside General,Cardiology,71,68,62,4,1,265,3.89,72,135711.6
2024-12-23,Riverside General,Surgery,60,57,53,4,0,324,5.69,64,115632.5
2024-12-23,Riverside General,Paediatrics,94,88,80,6,1,348,3.96,88,175918.98
2024-12-30,Riverside General,Emergency,155,147,133,10,2,628,4.27,116,284859.93
2024-12-30,Riverside General,Cardiology,75,71,65,5,1,297,4.18,72,139312.46
2024-12-30,Riverside General,Surgery,62,58,52,4,0,334,5.76,64,109917.93
2024-12-30,Riverside General,Paediatrics,94,88,82,6,1,374,4.25,88,177806.81
2025-01-06,Riverside General,Emergency,170,161,147,10,2,623,3.87,116,320445.1
2025-01-06,Riverside General,Cardiology,72,68,63,4,1,269,3.95,72,135301.1
2025-01-06,Riverside General,Surgery,59,56,51,4,0,334,5.96,64,111020.98
2025-01-06,Riverside General,Paediatrics,98,92,84,6,1,390,4.24,88,176897.28
2025-01-13,Riverside General,Emergency,155,146,136,9,2,566,3.88,116,275475.42
2025-01-13,Riverside General,Cardiology,76,72,67,5,1,287,3.98,72,140340.93
2025-01-13,Riverside General,Surgery,62,59,53,4,0,338,5.73,64,117402.64
2025-01-13,Riverside General,Paediatrics,92,86,79,6,1,356,4.14,88,175034.32
2025-01-20,Riverside General,Emergency,170,163,152,11,2,696,4.27,116,320483.28
2025-01-20,Riverside General,Cardiology,70,67,63,4,1,265,3.95,72,134861.66
2025-01-20,Riverside General,Surgery,62,59,55,4,0,355,6.01,64,119056.7
2025-01-20,Riverside General,Paediatrics,98,92,84,6,1,388,4.22,88,180335.77
2025-01-27,Riverside General,Emergency,158,151,138,10,2,658,4.36,116,301937.98
2025-01-27,Riverside General,Cardiology,72,69,62,4,1,281,4.07,72,126874.09
2025-01-27,Riverside General,Surgery,62,58,53,4,0,350,6.04,64,108770.13
2025-01-27,Riverside General,Paediatrics,101,94,88,6,1,399,4.24,88,179261.62
2025-02-03,Riverside General,Emergency,165,157,144,10,2,637,4.06,116,305915.85
2025-02-03,Riverside General,Cardiology,72,68,63,4,1,268,3.94,72,128666.17
2025-02-03,Riverside General,Surgery,59,56,50,4,0,315,5.63,64,109032.13
2025-02-03,Riverside General,Paediatrics,100,95,89,6,1,380,4.0,88,189251.5
2025-02-10,Riverside General,Emergency,164,156,143,10,2,685,4.39,116,299031.71
2025-02-10,Riverside General,Cardiology,69,65,60,4,1,276,4.24,72,123874.25
2025-02-10,Riverside General,Surgery,62,59,53,4,0,343,5.81,64,114672.02
2025-02-10,Riverside General,Paediatrics,102,96,86,6,1,416,4.33,88,179042.51
2025-02-17,Riverside General,Emergency,155,145,134,9,2,609,4.2,116,283720.0
2025-02-17,Riverside General,Cardiology,70,66,61,4,1,280,4.25,72,134413.79
2025-02-17,Riverside General,Surgery,59,55,50,4,0,324,5.9,64,104011.83
2025-02-17,Riverside General,Paediatrics,94,88,81,6,1,339,3.85,88,169837.19
2025-02-24,Riverside General,Emergency,170,160,147,10,2,669,4.18,116,319263.07
2025-02-24,Riverside General,Cardiology,70,66,61,4,1,274,4.15,72,133988.0
2025-02-24,Riverside General,Surgery,61,58,53,4,0,331,5.7,64,116733.76
2025-02-24,Riverside General,Paediatrics,91,86,79,6,1,340,3.95,88,165411.74
2025-03-03,Riverside General,Emergency,169,160,148,10,2,621,3.88,116,299494.99
2025-03-03,Riverside General,Cardiology,72,68,62,4,1,296,4.36,72,134857.31
2025-03-03,Riverside General,Surgery,60,56,51,4,0,339,6.06,64,110701.52
2025-03-03,Riverside General,Paediatrics,99,95,86,6,1,408,4.29,88,188046.39
2025-03-10,Riverside General,Emergency,158,151,139,10,2,595,3.94,116,282180.48
2025-03-10,Riverside General,Cardiology,79,76,69,5,1,310,4.08,72,139021.51
2025-03-10,Riverside General,Surgery,66,62,56,4,1,360,5.81,64,122794.99
2025-03-10,Riverside General,Paediatrics,94,90,83,6,1,351,3.9,88,173888.33
2025-03-17,Riverside General,Emergency,164,154,145,10,2,644,4.18,116,294352.48
2025-03-17,Riverside General,Cardiology,72,68,62,4,1,266,3.91,72,136731.12
2025-03-17,Riverside General,Surgery,65,61,57,4,1,351,5.75,64,118969.63
2025-03-17,Riverside General,Paediatrics,101,97,91,6,1,395,4.07,88,185460.5
2025-03-24,Riverside General,Emergency,165,156,141,10,2,627,4.02,116,306314.85
2025-03-24,Riverside General,Cardiology,75,71,65,5,1,270,3.8,72,136215.87
2025-03-24,Riverside General,Surgery,66,62,58,4,1,371,5.98,64,121344.44
2025-03-24,Riverside General,Paediatrics,93,89,83,6,1,344,3.87,88,171154.2
2025-03-31,Riverside General,Emergency,163,154,144,10,2,648,4.21,116,287582.01
2025-03-31,Riverside General,Cardiology,75,70,65,5,1,300,4.29,72,136145.23
2025-03-31,Riverside General,Surgery,61,58,54,4,0,336,5.8,64,114281.29
2025-03-31,Riverside General,Paediatrics,94,90,82,6,1,391,4.34,88,172805.51
2025-04-07,Riverside General,Emergency,174,163,152,11,2,698,4.28,116,331105.67
2025-04-07,Riverside General,Cardiology,74,70,65,5,1,290,4.15,72,142073.78
2025-04-07,Riverside General,Surgery,65,62,57,4,1,374,6.03,64,120331.32
2025-04-07,Riverside General,Paediatrics,99,94,85,6,1,404,4.3,88,190250.58
2025-04-14,Riverside General,Emergency,170,163,147,11,2,642,3.94,116,327430.39
2025-04-14,Riverside General,Cardiology,76,72,67,5,1,279,3.88,72,136854.82
2025-04-14,Riverside General,Surgery,60,57,51,4,0,324,5.69,64,115250.67
2025-04-14,Riverside General,Paediatrics,93,89,81,6,1,343,3.85,88,178350.85
2025-04-21,Riverside General,Emergency,175,163,147,11,2,683,4.19,116,308008.14
2025-04-21,Riverside General,Cardiology,76,72,67,5,1,290,4.03,72,138882.77
2025-04-21,Riverside General,Surgery,58,55,51,4,0,325,5.91,64,106349.98
2025-04-21,Riverside General,Paediatrics,100,93,84,6,1,385,4.14,88,184380.75
2025-04-28,Riverside General,Emergency,168,159,143,10,2,657,4.13,116,323173.01
2025-04-28,Riverside General,Cardiology,73,70,64,5,1,295,4.21,72,136938.15
2025-04-28,Riverside General,Surgery,66,62,57,4,1,353,5.7,64,126260.89
2025-04-28,Riverside General,Paediatrics,92,87,81,6,1,338,3.89,88,177141.15
2025-05-05,Riverside General,Emergency,172,161,145,10,2,705,4.38,116,331430.95
2025-05-05,Riverside General,Cardiology,77,74,68,5,1,312,4.21,72,137595.28
2025-05-05,Riverside General,Surgery,58,55,50,4,0,304,5.53,64,102916.5
2025-05-05,Riverside General,Paediatrics,91,85,77,6,1,326,3.83,88,167017.0
2025-05-12,Riverside General,Emergency,166,156,140,10,2,622,3.99,116,310791.83
2025-05-12,Riverside General,Cardiology,71,68,62,4,1,289,4.25,72,134140.18
2025-05-12,Riverside General,Surgery,64,60,55,4,1,342,5.7,64,123048.05
2025-05-12,Riverside General,Paediatrics,92,87,79,6,1,342,3.93,88,169951.15
2025-05-19,Riverside General,Emergency,161,151,141,10,2,646,4.28,116,310030.35
2025-05-19,Riverside General,Cardiology,72,67,63,4,1,267,3.99,72,130741.84
2025-05-19,Riverside General,Surgery,60,56,52,4,0,341,6.09,64,108527.95
2025-05-19,Riverside General,Paediatrics,103,96,90,6,1,389,4.05,88,184837.98
2025-05-26,Riverside General,Emergency,161,150,139,10,2,639,4.26,116,284150.6
2025-05-26,Riverside General,Cardiology,71,67,62,4,1,285,4.26,72,124331.62
2025-05-26,Riverside General,Surgery,63,59,55,4,1,342,5.8,64,111451.79
2025-05-26,Riverside General,Paediatrics,98,92,86,6,1,392,4.26,88,178986.13
2025-06-02,Riverside General,Emergency,173,166,151,11,2,710,4.28,116,316693.53
2025-06-02,Riverside General,Cardiology,73,70,65,5,1,267,3.81,72,130841.45
2025-06-02,Riverside General,Surgery,62,59,54,4,0,335,5.68,64,118192.75
2025-06-02,Riverside General,Paediatrics,90,86,80,6,1,339,3.94,88,165261.7
2025-06-09,Riverside General,Emergency,162,151,140,10,2,646,4.28,116,293554.85
2025-06-09,Riverside General,Cardiology,72,69,63,4,1,266,3.86,72,134502.38
2025-06-09,Riverside General,Surgery,65,61,57,4,1,343,5.62,64,123267.85
2025-06-09,Riverside General,Paediatrics,97,92,84,6,1,374,4.06,88,170589.97
2025-06-16,Riverside General,Emergency,173,163,150,11,2,667,4.09,116,309946.88
2025-06-16,Riverside General,Cardiology,78,73,69,5,1,280,3.83,72,149758.76
2025-06-16,Riverside General,Surgery,60,57,52,4,0,343,6.02,64,108395.35
2025-06-16,Riverside General,Paediatrics,100,95,89,6,1,370,3.9,88,182820.11
2025-06-23,Riverside General,Emergency,177,166,154,11,2,651,3.92,116,317094.77
2025-06-23,Riverside General,Cardiology,77,72,68,5,1,306,4.25,72,145717.25
2025-06-23,Riverside General,Surgery,64,61,55,4,1,338,5.54,64,113872.42
2025-06-23,Riverside General,Paediatrics,93,87,80,6,1,334,3.84,88,173820.01
2025-06-30,Riverside General,Emergency,172,162,150,11,2,635,3.92,116,307216.31
2025-06-30,Riverside General,Cardiology,70,66,61,4,1,287,4.35,72,134388.2
2025-06-30,Riverside General,Surgery,66,62,57,4,1,348,5.62,64,116411.32
2025-06-30,Riverside General,Paediatrics,97,90,82,6,1,383,4.26,88,182225.38
2025-07-07,Riverside General,Emergency,172,164,153,11,2,687,4.19,116,310548.9
2025-07-07,Riverside General,Cardiology,75,70,65,5,1,307,4.39,72,144120.09
2025-07-07,Riverside General,Surgery,64,60,54,4,1,366,6.1,64,122760.85
2025-07-07,Riverside General,Paediatrics,98,92,83,6,1,402,4.37,88,178927.52
2025-07-14,Riverside General,Emergency,159,149,136,10,2,593,3.98,116,297182.46
2025-07-14,Riverside General,Cardiology,70,67,62,4,1,269,4.02,72,127173.99
2025-07-14,Riverside General,Surgery,61,58,54,4,0,350,6.03,64,116068.55
2025-07-14,Riverside General,Paediatrics,98,91,85,6,1,381,4.19,88,188540.73
2025-07-21,Riverside General,Emergency,158,148,136,10,2,591,3.99,116,303481.66
2025-07-21,Riverside General,Cardiology,72,68,63,4,1,261,3.84,72,134267.62
2025-07-21,Riverside General,Surgery,63,59,54,4,1,356,6.03,64,116130.31
2025-07-21,Riverside General,Paediatrics,97,92,83,6,1,362,3.93,88,182246.87
2025-07-28,Riverside General,Emergency,170,158,143,10,2,632,4.0,116,325158.6
2025-07-28,Riverside General,Cardiology,76,72,66,5,1,292,4.05,72,145900.44
2025-07-28,Riverside General,Surgery,61,58,54,4,0,339,5.85,64,113252.81
2025-07-28,Riverside General,Paediatrics,98,94,87,6,1,386,4.11,88,186088.1
2025-08-04,Riverside General,Emergency,167,160,145,10,2,629,3.93,116,321434.11
2025-08-04,Riverside General,Cardiology,71,66,61,4,1,290,4.39,72,132711.62
2025-08-04,Riverside General,Surgery,62,59,55,4,0,339,5.74,64,118773.46
2025-08-04,Riverside General,Paediatrics,96,92,85,6,1,371,4.03,88,177506.54
2025-08-11,Riverside General,Emergency,162,153,138,10,2,598,3.91,116,309535.91
2025-08-11,Riverside General,Cardiology,78,73,66,5,1,303,4.15,72,148061.8
2025-08-11,Riverside General,Surgery,61,57,52,4,0,342,6.0,64,110766.12
2025-08-11,Riverside General,Paediatrics,96,91,84,6,1,368,4.04,88,180460.67
2025-08-18,Riverside General,Emergency,175,164,149,11,2,664,4.05,116,337066.24
2025-08-18,Riverside General,Cardiology,71,67,60,4,1,264,3.94,72,136200.58
2025-08-18,Riverside General,Surgery,66,62,58,4,1,351,5.66,64,116733.36
2025-08-18,Riverside General,Paediatrics,91,87,81,6,1,354,4.07,88,160293.37
2025-08-25,Riverside General,Emergency,156,149,135,10,2,606,4.07,116,298737.96
2025-08-25,Riverside General,Cardiology,79,74,68,5,1,292,3.95,72,149277.58
2025-08-25,Riverside General,Surgery,59,56,51,4,0,320,5.71,64,103862.68
2025-08-25,Riverside General,Paediatrics,97,91,85,6,1,392,4.31,88,178544.51
2025-09-01,Riverside General,Emergency,169,158,143,10,2,681,4.31,116,308702.97
2025-09-01,Riverside General,Cardiology,70,66,61,4,1,251,3.81,72,133597.72
2025-09-01,Riverside General,Surgery,65,61,57,4,1,361,5.91,64,114478.87
2025-09-01,Riverside General,Paediatrics,101,95,87,6,1,408,4.29,88,183430.37
2025-09-08,Riverside General,Emergency,169,161,148,10,2,623,3.87,116,320898.25
2025-09-08,Riverside General,Cardiology,70,66,60,4,1,285,4.32,72,123939.55
2025-09-08,Riverside General,Surgery,59,56,52,4,0,327,5.84,64,103455.45
2025-09-08,Riverside General,Paediatrics,97,91,83,6,1,389,4.27,88,169999.75
2025-09-15,Riverside General,Emergency,158,149,137,10,2,645,4.33,116,295087.84
2025-09-15,Riverside General,Cardiology,69,64,59,4,1,252,3.93,72,129361.0
2025-09-15,Riverside General,Surgery,58,55,50,4,0,323,5.87,64,110068.64
2025-09-15,Riverside General,Paediatrics,92,87,79,6,1,356,4.09,88,163241.95
2025-09-22,Riverside General,Emergency,170,162,146,11,2,637,3.93,116,311246.53
2025-09-22,Riverside General,Cardiology,74,70,63,5,1,288,4.11,72,142225.76
2025-09-22,Riverside General,Surgery,61,57,52,4,0,332,5.83,64,113065.6
2025-09-22,Riverside General,Paediatrics,91,86,78,6,1,369,4.29,88,172406.79
2025-09-29,Riverside General,Emergency,163,153,139,10,2,591,3.86,116,302016.96
2025-09-29,Riverside General,Cardiology,78,74,68,5,1,307,4.15,72,147825.81
2025-09-29,Riverside General,Surgery,62,59,54,4,0,354,6.0,64,111119.09
2025-09-29,Riverside General,Paediatrics,90,84,78,5,1,351,4.18,88,161041.9
2025-10-06,Riverside General,Emergency,165,156,141,10,2,635,4.07,116,316002.59
2025-10-06,Riverside General,Cardiology,72,68,63,4,1,271,3.99,72,135504.5
2025-10-06,Riverside General,Surgery,63,60,54,4,1,341,5.68,64,120459.68
2025-10-06,Riverside General,Paediatrics,98,93,86,6,1,376,4.04,88,180351.64
2025-10-13,Riverside General,Emergency,166,156,146,10,2,679,4.35,116,317563.95
2025-10-13,Riverside General,Cardiology,76,71,67,5,1,275,3.88,72,133782.6
2025-10-13,Riverside General,Surgery,58,54,50,4,0,314,5.82,64,109064.84
2025-10-13,Riverside General,Paediatrics,102,96,89,6,1,374,3.9,88,192574.82
2025-10-20,Riverside General,Emergency,160,152,137,10,2,602,3.96,116,279797.81
2025-10-20,Riverside General,Cardiology,72,67,63,4,1,263,3.93,72,135234.14
2025-10-20,Riverside General,Surgery,60,57,51,4,0,328,5.75,64,109270.11
2025-10-20,Riverside General,Paediatrics,97,92,84,6,1,379,4.12,88,180857.86
2025-10-27,Riverside General,Emergency,171,160,148,10,2,632,3.95,116,304151.19
2025-10-27,Riverside General,Cardiology,76,72,67,5,1,311,4.32,72,144292.11
2025-10-27,Riverside General,Surgery,64,60,56,4,1,344,5.73,64,123576.55
2025-10-27,Riverside General,Paediatrics,95,89,83,6,1,352,3.96,88,172094.06
2025-11-03,Riverside General,Emergency,159,149,136,10,2,647,4.34,116,284814.43
2025-11-03,Riverside General,Cardiology,71,67,62,4,1,291,4.35,72,133070.94
2025-11-03,Riverside General,Surgery,60,57,52,4,0,332,5.83,64,113292.01
2025-11-03,Riverside General,Paediatrics,96,90,84,6,1,348,3.87,88,173035.8
2025-11-10,Riverside General,Emergency,159,149,138,10,2,621,4.17,116,304769.89
2025-11-10,Riverside General,Cardiology,77,72,67,5,1,284,3.94,72,147344.81
2025-11-10,Riverside General,Surgery,62,58,53,4,0,321,5.54,64,118112.48
2025-11-10,Riverside General,Paediatrics,97,91,84,6,1,373,4.1,88,172286.76
2025-11-17,Riverside General,Emergency,161,151,141,10,2,609,4.03,116,304065.29
2025-11-17,Riverside General,Cardiology,78,74,69,5,1,316,4.27,72,147928.79
2025-11-17,Riverside General,Surgery,64,61,57,4,1,362,5.93,64,118056.16
2025-11-17,Riverside General,Paediatrics,102,98,89,6,1,429,4.38,88,178598.98
2025-11-24,Riverside General,Emergency,163,155,143,10,2,659,4.25,116,295479.85
2025-11-24,Riverside General,Cardiology,76,73,66,5,1,282,3.86,72,145839.5
2025-11-24,Riverside General,Surgery,62,58,53,4,0,326,5.62,64,113245.87
2025-11-24,Riverside General,Paediatrics,92,87,79,6,1,343,3.94,88,167539.85
2025-12-01,Riverside General,Emergency,158,148,134,10,2,577,3.9,116,278974.1
2025-12-01,Riverside General,Cardiology,77,72,66,5,1,275,3.82,72,139883.71
2025-12-01,Riverside General,Surgery,58,56,52,4,0,336,6.0,64,106299.73
2025-12-01,Riverside General,Paediatrics,94,90,84,6,1,366,4.07,88,170042.68
2025-12-08,Riverside General,Emergency,162,151,141,10,2,642,4.25,116,309941.54
2025-12-08,Riverside General,Cardiology,76,72,66,5,1,308,4.28,72,142636.52
2025-12-08,Riverside General,Surgery,63,60,55,4,1,357,5.95,64,114170.08
2025-12-08,Riverside General,Paediatrics,99,93,87,6,1,400,4.3,88,181812.46
2025-12-15,Riverside General,Emergency,155,146,133,9,2,613,4.2,116,292033.33
2025-12-15,Riverside General,Cardiology,77,73,68,5,1,287,3.93,72,137143.21
2025-12-15,Riverside General,Surgery,58,56,52,4,0,329,5.87,64,105353.2
2025-12-15,Riverside General,Paediatrics,96,92,85,6,1,402,4.37,88,172388.61
2025-12-22,Riverside General,Emergency,174,162,147,11,2,635,3.92,116,312863.91
2025-12-22,Riverside General,Cardiology,78,74,68,5,1,317,4.28,72,141928.88
2025-12-22,Riverside General,Surgery,63,60,56,4,1,346,5.77,64,113433.26
2025-12-22,Riverside General,Paediatrics,95,89,81,6,1,341,3.83,88,177263.2
2025-12-29,Riverside General,Emergency,159,149,137,10,2,602,4.04,116,299298.71
2025-12-29,Riverside General,Cardiology,75,71,66,5,1,307,4.32,72,141909.78
2025-12-29,Riverside General,Surgery,62,58,54,4,0,327,5.64,64,111650.46
2025-12-29,Riverside General,Paediatrics,102,97,88,6,1,406,4.19,88,189720.21
2026-01-05,Riverside General,Emergency,167,159,148,10,2,663,4.17,116,315422.89
2026-01-05,Riverside General,Cardiology,72,68,63,4,1,291,4.28,72,129884.9
2026-01-05,Riverside General,Surgery,59,55,51,4,0,310,5.64,64,103942.4
2026-01-05,Riverside General,Paediatrics,101,94,88,6,1,389,4.14,88,194465.26
2026-01-12,Riverside General,Emergency,176,168,157,11,2,738,4.39,116,331170.78
2026-01-12,Riverside General,Cardiology,73,70,65,5,1,308,4.4,72,134115.05
2026-01-12,Riverside General,Surgery,60,56,51,4,0,320,5.71,64,111942.82
2026-01-12,Riverside General,Paediatrics,100,96,88,6,1,403,4.2,88,180253.08
2026-01-19,Riverside General,Emergency,174,164,152,11,2,708,4.32,116,310432.54
2026-01-19,Riverside General,Cardiology,76,72,66,5,1,310,4.3,72,144934.46
2026-01-19,Riverside General,Surgery,59,55,50,4,0,316,5.75,64,105499.89
2026-01-19,Riverside General,Paediatrics,99,93,85,6,1,382,4.11,88,186300.92
2026-01-26,Riverside General,Emergency,172,161,146,10,2,633,3.93,116,307221.87
2026-01-26,Riverside General,Cardiology,71,68,63,4,1,275,4.05,72,136153.52
2026-01-26,Riverside General,Surgery,58,55,50,4,0,306,5.56,64,108072.27
2026-01-26,Riverside General,Paediatrics,93,89,83,6,1,371,4.17,88,172845.22
2026-02-02,Riverside General,Emergency,155,144,134,9,2,628,4.36,116,297426.2
2026-02-02,Riverside General,Cardiology,75,71,66,5,1,310,4.37,72,137666.4
2026-02-02,Riverside General,Surgery,66,63,59,4,1,372,5.9,64,119234.59
2026-02-02,Riverside General,Paediatrics,100,93,87,6,1,380,4.09,88,176796.77
2026-02-09,Riverside General,Emergency,154,144,132,9,2,569,3.95,116,293256.23
2026-02-09,Riverside General,Cardiology,75,71,65,5,1,310,4.36,72,140956.92
2026-02-09,Riverside General,Surgery,63,60,56,4,1,343,5.72,64,117253.93
2026-02-09,Riverside General,Paediatrics,102,97,88,6,1,380,3.92,88,187555.46
2026-02-16,Riverside General,Emergency,154,148,139,10,2,592,4.0,116,275785.84
2026-02-16,Riverside General,Cardiology,70,66,61,4,1,268,4.06,72,125374.4
2026-02-16,Riverside General,Surgery,58,56,51,4,0,340,6.08,64,102901.42
2026-02-16,Riverside General,Paediatrics,95,91,85,6,1,399,4.39,88,178508.68
2026-02-23,Riverside General,Emergency,163,152,137,10,2,632,4.16,116,311541.19
2026-02-23,Riverside General,Cardiology,78,73,66,5,1,292,4.0,72,138009.4
2026-02-23,Riverside General,Surgery,66,63,58,4,1,366,5.81,64,117436.66
2026-02-23,Riverside General,Paediatrics,90,86,78,6,1,342,3.98,88,164206.54
2026-03-02,Riverside General,Emergency,162,154,142,10,2,590,3.83,116,283595.29
2026-03-02,Riverside General,Cardiology,76,71,66,5,1,275,3.87,72,133226.51
2026-03-02,Riverside General,Surgery,58,55,50,4,0,331,6.01,64,107163.56
2026-03-02,Riverside General,Paediatrics,98,94,88,6,1,396,4.21,88,188365.69
2026-03-09,Riverside General,Emergency,167,160,150,10,2,704,4.4,116,309066.3
